,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.86,0.8299999999999998,0.91,0.8655555555555556,42.0,4.0,5.0
C2(元気が出る),0.7,0.95,0.42,0.5647058823529412,100.0,10.0,5.0
C3(切ない),0.7938423645320196,0.7651367564146467,0.8724137931034482,0.8121391671398163,282.0,28.0,5.0
C4(激しい),0.8788888888888889,0.9127777777777778,0.8400000000000001,0.8712280701754386,98.0,10.0,5.0
C5(滑稽な),0.6783333333333333,0.7166666666666667,0.5958333333333333,0.6500529100529101,158.0,16.0,5.0
C6(かわいい),0.5908333333333333,0.96,0.19416666666666665,0.3152255639097744,154.0,15.0,5.0
Valence,0.6689393939393941,0.7366666666666666,0.4984848484848484,0.5887667698658411,112.0,11.0,5.0
Arousal,0.6718614718614718,1.0,0.3437229437229437,0.5032514759989732,216.0,22.0,5.0
平均,0.7303373482360551,0.8589059834407197,0.5843276981639051,0.6463656743814064,145.25,14.5,5.0
